,precision,recall,f1-score,support
activate_my_card,1.0,0.925,0.961038961038961,40.0
age_limit,0.975609756097561,1.0,0.9876543209876543,40.0
apple_pay_or_google_pay,1.0,1.0,1.0,40.0
atm_support,1.0,0.95,0.9743589743589743,40.0
automatic_top_up,0.9736842105263158,0.925,0.9487179487179487,40.0
balance_not_updated_after_bank_transfer,0.7560975609756098,0.775,0.7654320987654321,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.9285714285714286,0.975,0.9512195121951219,40.0
beneficiary_not_allowed,0.9705882352941176,0.825,0.8918918918918919,40.0
cancel_transfer,0.9736842105263158,0.925,0.9487179487179487,40.0
card_about_to_expire,0.95,0.95,0.95,40.0
card_acceptance,1.0,0.125,0.2222222222222222,40.0
card_arrival,0.7555555555555555,0.85,0.8,40.0
card_delivery_estimate,0.8292682926829268,0.85,0.8395061728395061,40.0
card_linking,0.9285714285714286,0.975,0.9512195121951219,40.0
card_not_working,0.8085106382978723,0.95,0.8735632183908046,40.0
card_payment_fee_charged,0.8043478260869565,0.925,0.8604651162790697,40.0
card_payment_not_recognised,0.8571428571428571,0.9,0.8780487804878049,40.0
card_payment_wrong_exchange_rate,0.9047619047619048,0.95,0.926829268292683,40.0
card_swallowed,1.0,0.775,0.8732394366197183,40.0
cash_withdrawal_charge,0.8444444444444444,0.95,0.8941176470588236,40.0
cash_withdrawal_not_recognised,0.8636363636363636,0.95,0.9047619047619048,40.0
change_pin,0.9487179487179487,0.925,0.9367088607594937,40.0
compromised_card,0.9090909090909091,0.75,0.821917808219178,40.0
contactless_not_working,1.0,0.875,0.9333333333333333,40.0
country_support,0.8125,0.975,0.8863636363636364,40.0
declined_card_payment,0.7254901960784313,0.925,0.8131868131868132,40.0
declined_cash_withdrawal,0.7407407407407407,1.0,0.851063829787234,40.0
declined_transfer,1.0,0.7,0.8235294117647058,40.0
direct_debit_payment_not_recognised,0.96875,0.775,0.8611111111111112,40.0
disposable_card_limits,0.9142857142857143,0.8,0.8533333333333334,40.0
edit_personal_details,0.9523809523809523,1.0,0.975609756097561,40.0
exchange_charge,0.9736842105263158,0.925,0.9487179487179487,40.0
exchange_rate,0.9285714285714286,0.975,0.9512195121951219,40.0
exchange_via_app,0.8297872340425532,0.975,0.896551724137931,40.0
extra_charge_on_statement,0.975,0.975,0.975,40.0
failed_transfer,0.78,0.975,0.8666666666666667,40.0
fiat_currency_support,0.9166666666666666,0.825,0.868421052631579,40.0
get_disposable_virtual_card,0.5925925925925926,0.8,0.6808510638297872,40.0
get_physical_card,0.9090909090909091,1.0,0.9523809523809523,40.0
getting_spare_card,0.8372093023255814,0.9,0.8674698795180723,40.0
getting_virtual_card,0.582089552238806,0.975,0.7289719626168224,40.0
lost_or_stolen_card,0.8043478260869565,0.925,0.8604651162790697,40.0
lost_or_stolen_phone,1.0,0.975,0.9873417721518988,40.0
order_physical_card,0.5223880597014925,0.875,0.6542056074766355,40.0
passcode_forgotten,0.9523809523809523,1.0,0.975609756097561,40.0
pending_card_payment,0.9736842105263158,0.925,0.9487179487179487,40.0
pending_cash_withdrawal,0.9736842105263158,0.925,0.9487179487179487,40.0
pending_top_up,0.9117647058823529,0.775,0.8378378378378378,40.0
pending_transfer,0.9117647058823529,0.775,0.8378378378378378,40.0
pin_blocked,0.9714285714285714,0.85,0.9066666666666666,40.0
receiving_money,1.0,0.775,0.8732394366197183,40.0
Refund_not_showing_up,0.9473684210526315,0.9,0.9230769230769231,40.0
request_refund,0.8571428571428571,0.9,0.8780487804878049,40.0
reverted_card_payment?,0.8181818181818182,0.9,0.8571428571428571,40.0
supported_cards_and_currencies,0.8888888888888888,0.8,0.8421052631578947,40.0
terminate_account,0.8888888888888888,1.0,0.9411764705882353,40.0
top_up_by_bank_transfer_charge,0.9090909090909091,0.75,0.821917808219178,40.0
top_up_by_card_charge,0.8863636363636364,0.975,0.9285714285714286,40.0
top_up_by_cash_or_cheque,0.9428571428571428,0.825,0.88,40.0
top_up_failed,0.6727272727272727,0.925,0.7789473684210526,40.0
top_up_limits,0.926829268292683,0.95,0.9382716049382716,40.0
top_up_reverted,1.0,0.775,0.8732394366197183,40.0
topping_up_by_card,0.7105263157894737,0.675,0.6923076923076923,40.0
transaction_charged_twice,0.8888888888888888,1.0,0.9411764705882353,40.0
transfer_fee_charged,0.9210526315789473,0.875,0.8974358974358975,40.0
transfer_into_account,0.7619047619047619,0.8,0.7804878048780488,40.0
transfer_not_received_by_recipient,0.8947368421052632,0.85,0.8717948717948718,40.0
transfer_timing,0.75,0.9,0.8181818181818182,40.0
unable_to_verify_identity,0.8823529411764706,0.75,0.8108108108108109,40.0
verify_my_identity,0.7446808510638298,0.875,0.8045977011494253,40.0
verify_source_of_funds,1.0,1.0,1.0,40.0
verify_top_up,1.0,1.0,1.0,40.0
virtual_card_not_working,0.0,0.0,0.0,40.0
visa_or_mastercard,0.972972972972973,0.9,0.935064935064935,40.0
why_verify_identity,0.7105263157894737,0.675,0.6923076923076923,40.0
wrong_amount_of_cash_received,0.972972972972973,0.9,0.935064935064935,40.0
wrong_exchange_rate_for_cash_withdrawal,0.9696969696969697,0.8,0.8767123287671232,40.0
accuracy,0.8701298701298701,0.8701298701298701,0.8701298701298701,0.8701298701298701
macro avg,0.8748210114332893,0.8701298701298701,0.862915511953907,3080.0
weighted avg,0.8748210114332892,0.8701298701298701,0.8629155119539073,3080.0
